# name	cuisine_slug	confidence
# REVIEW THIS before --emit-sql. Delete or correct any line.
54ល្ងាចស្រស់ Restaurant	null	medium
5712 Palios Of Colleyville, Lp	pizza-classic	low
59 Shawarma & Juice	middle-eastern	high
5th Bayou Boudin And More	cajun-creole	high
650 North	null	high
741 Food Truck Park	food-truck	high
76 Of Red Oak Inc	null	high
7713 Real Estate Ltd	null	high
8659 Frisco, Llc	null	high
88 Bites Gourmet	null	low
9 Eighteen Food Inc	null	medium
983taqueria	tacos	high
A Bite Of Lao And Thai - Allen, Tx	thai	high
A Taste of Philly	deli-sandwiches	medium
A&a Italian Kitchen Inc	italian-classic	high
A&amp E Insurance Service, Inc. Dba Arrow In	null	high
A&d Repairs, Inc	null	high
A&u Foods Llc Dba Chicken N Rice	chicken	medium
A.m.deli Llc Dba Murphy's Deli	deli-sandwiches	high
ACG Texas Restaurants	null	high
AMZ CORP	null	high
AREEDO	null	high
AZUL Modern Latin Cuisine	latin-american	high
Aaby All About You Community Care, Llc Dba Starbright Heal	null	high
Aarna Business Inc	null	high
Aave Cause Restaurants Llc	null	high
Abacus Jasper's Managment L.l.c	null	low
Abbott's Frozen Custard Texas	ice-cream	high
Abe Food Inc	null	high
Abf Services, Llc	null	high
Abftx Properties, Llc	null	high
Absinthe Lounge	bar	medium
Acg Texas	null	high
Acme Widget Works	null	high
Addison Hookah Lounge Inc	middle-eastern	low
Addison Union Park Llc	null	high
Adeela’s1	null	medium
Adelphi Petroleum Inc	null	high
Adem, Inc	null	high
Adil's Restaurant Management Company Llc	null	medium
Admirals Club	null	medium
Admirals Club (Terminal D)	null	medium
Adobe Oil & Gas, Inc	null	high
Adriano's Italian Restaurant Llc	italian-classic	high
Advanced Test Solutions, Llc Dba Test Technology Associates	null	high
Advantage Sales and Marketing	null	high
Adyar Ananda Bhavan	indian	high
Afallon Presents The Post Llc	null	high
African Village Chez Ma Vero	west-african	medium
Afrika Fusion	west-african	low
Ag Bros Construction Llc	null	high
Ag Partners Unlimited Llc	null	high
Aggies Restaurant	null	medium
Ahnick Service Group Llc	null	high
Aib Food Inc	null	high
Aids For Recovery Inc	null	high
Air & Ice	null	low
Air Clinic	null	high
Airman Services Inc.	null	high
Aj Castillo Enterprises Llc	null	high
Aj Restaurant Services Llc	null	high
Aj Restaurant St Paul Llc	null	high
Ak Real Estate Holding, Llc	null	high
Al Consulting Llc	null	high
Al Dente Enterprise Llc	italian-classic	medium
Al Madina Shaer Llc	middle-eastern	low
Ala Carte Cakes	bakery	high
Alabanzas de Sociedad de Guatemala el renuevo	null	medium
Aladinns Spot	middle-eastern	low
Alaiyna Wireless Inc	null	high
Alan Concepts Llc	null	high
Alanis &amp Dunnam, Llc Dba Advance Install	null	high
Alba's Casita	mexican	low
Albert Restaurant Group Llc.	null	high
Alejandro's	null	medium
Alejandro's Grill & Cantina	mexican	medium
Alena's Tex-Mex Café	tex-mex	high
Alfed Pizza Inc Dba Pizza Patron	pizza-classic	high
Alfred William Harris Faculty Alumni Center, Inc.	null	high
Alfredo's Italian Restaurant	italian-classic	high
Alice Edwin Enterprise Inc	null	high
Alice's Tea Shoppe	tea-house	high
Alisein Investments Inc	null	high
Alishan Enterprises Inc Dba Z &amp M Food Mart &amp Deli	deli-sandwiches	medium
Aljic Restaurant Group Llc Dba	null	high
All About Cha	tea-house	medium
All Day	null	medium
All Day Kitchens	null	medium
All Discount General Merchandise	null	high
All Tex Permits Llc	null	high
All Things Corned Beef	deli-sandwiches	medium
All-ages Home Health Care, Llc Dba Mission Care Home Health	null	high
All-summ Value, Inc.	null	high
Allen Restaurant Corporation	null	high
Allhad Abc Ent., Inc	null	high
Alliance Counseling And Psychological Se Rvices, Professiona	null	high
Alligator Cafe Llc	cajun-creole	low
Allure Restaurant	null	high
Allway Auto	null	high
Almanza's taqueria	tacos	high
Almas Mexican Restaraunt	mexican	high
Alondra's Cuisine	null	medium
Alonti Catering & Cafe	cafe	medium
Alora Hospitality Group	null	high
Als Quick Stop Inc	null	high
Alta G. Williams	null	high
Altamesa Inc	null	high
Alternative Distributors	null	high
Al’s Ranch House Burgers	burgers	high
Amaren Surgical Pllc	null	high
Amaya’s Bar And Grill	null	low
Amb Investments Inc	null	high
Ame	null	high
America's Best Wings	wings	high
America's Latin Cuisine and Tapas	latin-american	high
American Airlines Admirals Club	null	high
American Airlines Flagship Lounge	null	high
American Airlines Premium Lounge	null	high
American Pacific Group Network Llc	null	high
American Worldwide Ventures Llc	null	high
American Yeung Inc	null	high
Americas Best Coffee	coffee	high
Ameritech 360 Advantage	null	high
Amico's Exotic Pizza Llc	pizza-classic	high
Amie's African Kitchen and Grill	west-african	low
Amigo Entertainment Management Llc	null	high
Amigos Restaurant	mexican	low
Amma's Indian Cuisine	indian	high
Amores New York Italian	italian-classic	high
Amore’s Italian Restaurant	italian-classic	high
Ampex Brands	null	high
An Donuts	donuts	high
Anar Cafe And Bakery Llc	bakery	medium
Anc International Llc	null	high
Anderson Distillery & Grill	distillery	high
Anderson Express Lane Inc	null	high
Andhra 2 Chennai Indian Cuisine	indian	high
Andrea's Restaurant	null	medium
Ands Silver Inc	null	high
Angel special chicken shack	chicken	high
Angel's Fire Barbecue	barbecue-classic	high
Angela's At The Crosswalk	null	medium
Angels NY Pizza	pizza-classic	high
Angmar Entertainment Inc	null	high
Anita's Mo:Mo	indian	low
Ankapur Chicken	chicken	medium
Anne Evans Pmi Llc	null	high
Another Broken Egg Of America, Inc.	breakfast	high
Antojitos Azteca	mexican	high
Antojitos El Zorrito	mexican	high
Antojitos La Guerita	mexican	high
Antojitos de Tierra Caliente	mexican	high
Antojitos to go	mexican	medium
Apeizza E Vino	pizza-classic	medium
Apex Restaurant Group Lp	null	high
Apex Restaurant Group, Lp	null	high
Apheleia Restaurant Group	null	high
Apple Texas Restaurants, Inc.	null	medium
Apw Wyott Inc	null	high
Aquatic Reflections	null	high
Aqui Me Quedo Restaurant	latin-american	medium
Ar Food Business Inc	null	high
Aramark	null	high
Arapaho Deli	deli-sandwiches	high
Arcade 92 Flower Mound	null	medium
Arcadia Coffee	coffee	high
Archez De Oro Inc	null	medium
Arepisimas	latin-american	medium
Arirang Chinese Kitchen Llc	chinese	high
Arirang Korean Kitchen Llc	korean	high
Arkhop Llc	null	high
Arlington Green Oaks Sdi Ltd	null	high
Arlington Lakeside Grocery & Grill, Inc	null	medium
Arlington Preventive Care Medical Clinic, P.a	null	high
Arlington Ramen Llc	ramen	high
Aroma kitchen	null	medium
Around The Corner	null	high
Arova ModernFlatbread	pizza-classic	low
Arrose Investments Llc	null	high
Ars Engineers, Inc.	null	high
Artis Lp	null	high
Artis, Inc.	null	high
Artisan Market	null	medium
Arts For People	null	high
Arvizu’s Taqueria	tacos	high
Arôme Caribbean Fusion	caribbean	high
Ashley's Kitchen	null	medium
Ashley's Restaurant Company Llc	null	high
Asian 1 Restaurant Corp	pan-asian	medium
Asian Express	pan-asian	medium
Asian Wok	chinese	medium
Aslxx Inc Dba Aw Shucks	seafood-classic	medium
Asma Kitchen	null	low
Associated Restaurant Solutions Llc	null	high
Astra Kitchen + Lounge	null	medium
Ata Plaza Inc	null	high
Atascocita The Catch Llc	seafood-classic	medium
Ateliê by The EXPERIENCE	null	low
Athina Inc Dba Mama Bears Daycare	null	medium
Athr Management Company Llc	null	high
Atithi Hospitality Llc	null	low
Attalie feat. Step Child	null	low
Atx Hospitality, Llc	null	high
Atípico.Dallas	null	low
Auntii’s Kitchen	null	low
Austin F. Hartley, Pllc	null	high
Austinbailey Incorporated	null	high
Auto Gold Inc	null	high
Auto World Company	null	high
Autosa Corp. Dba Volcanos Sports Bar & Grill	sports-bar	high
Avanti Euro Bistro	italian-classic	low
Ave Mediterranean	mediterranean	high
Avenue Drive In	null	low
Avesta	null	low
AvoEatery at Trinity Groves featuring Avocados From Mexico	mexican	medium
Avocados Food	null	low
Aw Shucks and Blue Goose	seafood-classic	medium
Awesome Times	null	high
Axiom Restaurant Fw Llc	null	high
Ayad Inc	null	high
Ayam Zaman Cafe/ مطعم أيام زمان	middle-eastern	high
Aza Lovefield, Llc	null	high
Aza Royal Ln, Llc	null	high
Azteca	mexican	high
Azz Incorporated	null	high
B & N Dollar Store	null	high
B B Bop Seoul Kitchen	korean	high
B K &amp R Food Co Ltd	null	high
B K Of The Metroplex Inc	null	medium
B&amp C Staffing Services Llc	null	high
B&amp M Apex, Llc	null	high
B's Service Llc.	null	high
B. Frank & Relish	null	low
B. Phred's Inc	null	high
B.h.g. Sources Llc	null	high
B2s Food Inc	null	high
B4 Pizza Llc	pizza-classic	high
BB's Deli & Juice	deli-sandwiches	high
BBQ Cannon	barbecue-classic	high
BBQ Grill Sergeant	barbecue-classic	high
BEP & PHIN	vietnamese	low
BOXOCHOPS Modern African Kitchen - Plano	west-african	medium
Baba International	null	low
Babe's Chicken Dinner House	chicken	high
Backwoods BBQ	barbecue-classic	high
Backyard Bbq Catering	barbecue-classic	high
Bacon's Bistro and Cafe	cafe	medium
Baf Investments Llc	null	high
Bafang Dumpling	chinese	high
Bag O’ crab	crab-house	high
Bagaicha	null	low
Baig &amp Ramzan Lv Llc	null	high
Baja Shrimp Properties Llc	seafood-classic	low
Bajeko Sekuwa	null	low
Baker's Drive-In	fast-food	low
Baker's Ribs	barbecue-classic	high
Bakers Ribs Inc	barbecue-classic	high
Baldo's Ice Cream	ice-cream	high
Balicia's Taqueria, Llc	tacos	high
Bamboo Bamboo	pan-asian	low
Bambus Asian Cafe	pan-asian	high
Bana Pasta Pizza Llc	pizza-classic	medium
Banana Reef	null	low
Banh Mi Viet	vietnamese	high
Banh Shop Fort Worth	vietnamese	high
Banquetes Texopilli	mexican	medium
Bantu Kitchens	west-african	low
Banya Tree Corporate Llc	null	low
Bar Louie Franchise	bar	medium
Bar Manzanilla at The Toyota Music Factory	bar	low
Bar Nada, Inc	bar	low
Bar-b-que Outlaws Inc	barbecue-classic	high
Bara Nepalese Restaurant and Bar	indian	low
Barbara Eden Management Company Llc	null	high
Barnhaus Vineyards And Winery, Llc	wine-bar	medium
Barnone	bar	low
Barraco's Food Store Inc	null	low
Barrett Hospitality Llc	null	high
Barrios Taqueria	tacos	high
Barteca Restaurant Group	null	low
Barteca Restaurants, Llc.	null	low
Basilico Inc	italian-classic	medium
Basin Creek Corporation	null	high
Bassam Al-nimiri Associates Inc	null	medium
Bastion Restaurant	null	low
Battutō Italian Kitchen	italian-classic	high
Bay Leaf Restaurant	null	low
Bay Street Restaurant	null	low
Bayindir Llc	null	low
Bb.q Chicken Carrollton	korean	medium
Bb.q Chicken Plano Preston	korean	medium
Bb.q Chicken Plano Spring Creek	korean	medium
Bb.q Chicken Richardson	korean	medium
Bbq & Burger Co. Inc	barbecue-classic	medium
Bcbl Ventures, Llc Dba Advance Wireless	null	high
Bcd Food Services, Llc	null	high
Bdaa Holdings 1 Ltd	null	high
Bea's Catering	null	medium
Bear Creek Bistro	null	low
Bearwallow Mountain Land Llc	null	high
Bearylicious Frozen Yogurt	dessert	medium
Beautiful Paradise Treats	dessert	medium
Beauty Lover Llc	null	high
Bebo's and Kathy's Cafe	cafe	medium
Becerra's Tamales	mexican	high
Bedford Bakery	bakery	high
Bedford Ice House Llc	bar	low
Beef-a-Roo	burgers	medium
Bella Bar & Restaurant	bar	low
Bella Bella	italian-classic	low
Bella Maca	null	low
Bellagreen	new-american	low
Bellas Nutrition	juice-smoothie	low
Belle's Popcorn	dessert	low
Bellomy Seafood Ii, Llc	seafood-classic	high
Bellomy Seafood Llc	seafood-classic	high
Belzoni's Catfish Cafe'	seafood-classic	medium
Ben And Becca, Llcdba Kiki La'rue	null	low
Ben E Keith	null	low
Benihana of Tokyo	japanese	high
Benkei Ramen Llc	ramen	high
Bennigan's Franchising Company Lp	pub	low
Bennigan’s Grill & Tavern	irish-pub	medium
Bennys	null	low
Bennys Pizza & Pasta Restaurant	pizza-classic	high
Bens3b Llc	null	low
Bent Tree Tex-mex Corporation	tex-mex	high
Berlin Cafe Llc	german	medium
Berry Chicken & Seafood	chicken	high
Best Infrared Grill	null	low
Best Of Cluck Llc	chicken	medium
Best Restaurant Business	null	low
Beyond Ice Llc	null	low
Bff Bakery, Bistro And Bar	bakery	medium
Bh Carl Road Restaurants Llc	null	low
Bh Lounge Of Arlington Llc	bar	low
Bhetghat Restaurant Bar & Banquet	indian	low
Bien Xanh	vietnamese	medium
Big Al’s Scoreboard Grille	sports-bar	medium
Big Apple Cafe	cafe	low
Big B's Barbecue & Catering	barbecue-classic	high
Big Bite by Esteban	null	low
Big Country BBQ	barbecue-classic	high
Big D Pizza Llc	pizza-classic	high
Big Daddy's Kitchen	null	low
Big Daddys Liquor	null	low
Big Dawgs Hot Dog Co.	fast-food	medium
Big Deal Burger	burgers	high
Big Face Hendo's Llc	null	low
Big Ferd's Foods Grilling And More	null	low
Big Smoke Enterprise Inc	null	low
Big Spray Brewing	brewery	high
Big T Restaurant	null	low
Big Tony's Pizza Tavern	pizza-classic	high
Big Will's Soul Food	soul-food	high
Bin 303	wine-bar	low
Bina Investments Inc	null	low
Binh Pham Deep Ellum Investment Llc	null	low
Binkley Restaurant Group Llc	null	low
Biotech Ventures Llc	null	low
Bird & Beast	null	low
Birrieria La Mera Mera	mexican	high
Birriería El Conejo Grand Prairie	mexican	high
Bista Growth Holdings, Llc	null	low
Bistek Restaurant	filipino	low
Bistro 1200	null	low
Bistro 31	null	low
Bistro B	null	low
Bistro Trio Euro Tavern	null	low
Bita's Tex-Mex	tex-mex	high
Bite Bistro	null	low
Bites N Smilez snow cone shop	dessert	medium
Bizzi's Bistro	null	low
Bizzy - Burger Merchants	burgers	high
Bj's Restaurant & Brewhouse	brewpub	medium
Bjk Enterprises Inc Dba Hospice Healthcare Network	null	high
Black Forest Coffee	coffee	high
Black Forest Coffee Haus, Inc	coffee	high
Black Tie Dinner	null	low
Blackeyed Pea Restaurant	southern	medium
Blessed Cajuns Llc	cajun-creole	high
Blessliz African Market	west-african	low
Blu & Nahu Llc	null	low
Blue Angel / Mamita’s Grill	latin-american	low
Blue Bonnet Kitchens	null	low
Blue Canyon Kitchen, Tavern And Wine Bar	wine-bar	medium
Blue Fish Japanese Restaurant	japanese	high
Blue Goose Cantina Mexican Restaurant	mexican	high
Blue Mesa Grill	mexican	low
Blue Mound Cafe - Rufe Snow	cafe	medium
Blue Sky Restaurant	null	low
Blue Sky Restaurant Llc	null	low
Blue Willow Cafe	cafe	low
BlueGreen Canteen	null	low
Blueforkllc	null	low
Bluestone Industries, Llc Dba Factory Outlet Tooling	null	high
Bmfdragon Llc	null	low
Bmo Investments Llc	null	high
Bnm Adira Llc	null	high
Bnr Pit Grill	barbecue-classic	low
Bo Bo China	chinese	high
Board Dragonflies Charcuterie	deli-sandwiches	low
Board and Bread	deli-sandwiches	low
BobaVida	tea-house	medium
Bobby Cox Companies, Inc.	null	high
Bobby V's Sports Gallery Cafe	sports-bar	medium
Boca 31	latin-american	low
Bodega Provisions	null	low
Bokoo Ideas Llc	null	high
Bollywood Bowls	indian	high
Bombay Enterprises	indian	low
Bon Appetit	null	low
Bongo Beaux’s Bourre Palace & Cajun Kitchen	cajun-creole	high
Bonnie & Clyde's Hideout	null	low
Bonnie Ruth's	null	low
Bonnie Ruth's Bistro	null	low
Bonzai Cycle Werx Llc	null	high
Boogie Mack’s Kitchen Food Truck	food-truck	high
Book Club Rowlett Llc	null	low
Boomer Jack Wings No 10	wings	high
Boomerjack Ventures Llc	null	low
Boonburg Inc Dba Chapps Cafe	burgers	low
Borden Dairy	null	low
Boss Burgerz	burgers	high
Boston Market	chicken	medium
Boston's Restaurant & Sports Bar	sports-bar	high
Bothwell-saxton Restaurants Llc.	null	high
Bottle Cap Alley, Llc	bar	low
Bottleneck Clearfork Llc	null	low
Bottles And Boards	wine-bar	medium
Bottom Line Investments I	null	high
Boudreauxs Cajun Kitchen Inc	cajun-creole	high
Boulevard Eatz	null	low
Boulevard Of Greens Inc	salad	medium
Bourbon Street Bar & Grill	cajun-creole	medium
Bourbon Street Blues Bar & Grill	cajun-creole	medium
Bowl & Barrel Rim Llc	new-american	low
Bowl &amp Barrel Citycentre, Llc	new-american	low
Bowl Of Pho Inc	vietnamese	high
Bowlarama Of Texas, Llc	null	low
Boyd Texas Sdi Lp	null	high
Bpr Usa Group Marketing Fund Inc	null	high
Br Operation Center Inc	null	high
Br Preston Center Inc	null	high
Bradford Bakery	bakery	high
Brain Storm Shelter, Llc.	null	high
Branded Bowls	bowls	high
Brandi’s	null	high
Brandon Holmes Dba Legacy Consulting Group	null	high
Branson Cafe Lp	cafe	medium
Brave Optical Inc	null	high
Bravo Cafe	cafe	medium
Braxton’s Bbq	barbecue-classic	high
Bread Winners Cafe & Bakery	bakery	high
Bread Zeppelin	salad	medium
Bread Zeppelin Operating 2 Llc	salad	medium
Breakfast Brothers	breakfast	high
Breaktime Tacos and Burgers	tacos	high
Brewer's Bistro	brewpub	low
Brian Bolke Eleven Consulting Llc	null	high
Brian T. Flaherty, The Cornerstone Company	null	high
Briant Hospitality, Llc	null	high
Bricer Box	null	high
Brick And Bones	chicken	low
Bright Akari Llc	null	medium
Brilla Restaurant Group Inc	null	medium
Brinker International	null	medium
Brisas Mexican Restaurant Las Restaurants Mexi	mexican	high
Broaster’s Chicken	chicken	high
Brooder & Bovine	new-american	low
Brooklyns Pizza	pizza-classic	high
Browbabekate	null	high
Brown Deer Management, Llc.	null	high
Browne Optics Inc	null	high
Brownies Restaurant	null	low
Brunchaholics To Go	brunch	high
Bruner Service Center, Llc	null	high
Bryan & Pearl Llc	null	high
Bty Materials, Llc Dba By The Yard Materials	null	high
Bubba Que Bbq	barbecue-classic	high
Bubba's 33	sports-bar	medium
Bubba's Cooks Country	southern	medium
Bubble and Pop, LLC	tea-house	low
Bubbles Eat & Play	null	low
Buck's Ranch House	comfort-food	low
Bucks Prime	steakhouse	medium
Budare’s	latin-american	low
Bueno Restaurant Group, Inc	null	low
Bueno bueno taqueria	tacos	high
Buffalo Grill	null	low
Buffet Latino Bbq	latin-american	medium
Bukka Grill	west-african	low
Buli	null	low
Bulla Plano Llc	null	low
Bulldog Saloon	bar	medium
Bullet Smoke BBQ	barbecue-classic	high
Bunge Foods	null	low
Burger & Philly Town	burgers	high
Burger Business 211 Llc	burgers	high
Burger Corner	burgers	high
Burger King 12441	burgers	high
Burger Max	burgers	high
Burger One Llc Dba Olive Burger	burgers	high
Burger Street Inc	burgers	high
Burleson Pizza Co	pizza-classic	high
Burlington Towne Crossing, Inc	null	low
Burning Rice	korean	low
Burrito Bellas	mexican	high
Butcher Block	null	low
Byblos Lebanese Restaurant	lebanese	high
Byrds Drive In	diner	medium
C & B Scene	null	low
C & K Business Llc	null	low
C & M Kim Enterprise Inc	null	low
C & M Manufacturing	null	low
C & R Medical	null	low
C & R Spirits Inc	bar	low
C G S Pizza Pasta Llc	pizza-classic	high
C J Food Court LLC	null	low
C Street Restaurant & Pub Inc	pub	medium
C&g Hospitality Llc	null	low
C&s2 Incorporation	null	low
C&t Group Llc	null	low
C.c's Bep, Llc	null	low
C.d.h. Inc	null	low
C.x.t. Management Inc	null	low
C2 - Crispy Corner	null	low
CEC Entertainment it	null	low
CF Chefs	null	low
CHOWK	indian	medium
CJ's Kitchen Caribbean Cuisine	caribbean	high
Cabo Grande	mexican	medium
Caesar I, Lp	null	low
Cafe	cafe	medium
Cafe 235 Llc	cafe	medium
Cafe Amore	cafe	low
Cafe Bahar	middle-eastern	low
Cafe Brazil Llc	brazilian	medium
Cafe Caeli	cafe	low
Cafe Chadra Inc	cafe	low
Cafe Charles	cafe	low
Cafe Charlton	cafe	low
Cafe De Soleil	french	low
Cafe Everest	indian	low
Cafe Fino Express	cafe	low
Cafe Gecko Eastside - Downtown Plano	cafe	low
Cafe Good Day	cafe	medium
Cafe Herrera	null	low
Cafe Jo'lei	cafe	low
Cafe LaFaye	cafe	low
Cafe Madina	middle-eastern	medium
Cafe Max Midway	cafe	low
Cafe McConway at The Preserve - Grapevine, TX	cafe	low
Cafe Mezban	pakistani	medium
Cafe Ngoc Trai, Llc	vietnamese	high
Cafe Nubia	null	low
Cafe Pacific, Inc	null	low
Cafe Rembrandt	cafe	low
Cafe Sicilia	italian-classic	high
Cafe Suzette	french	medium
Cafe Texas	null	low
Cafe-Oke	cafe	low
Cafemandu	indian	low
Cafeteria	null	low
Caffe Noliz	cafe	medium
Café 3040	cafe	medium
Café 6000	cafe	medium
Café De La Esquina	mexican	low
Cairo Gyro & Grill	middle-eastern	high
Cajun Made	cajun-creole	high
Cajun Seafood and Bar	cajun-creole	high
Cake Carousel Inc	bakery	high
Calabar Pot	west-african	medium
Calabrese & Winkler Holdings Llc	null	low
Calabrios	null	low
Calandra's Soulfood Garden&grill	soul-food	high
California Helicopter International	null	high
Camenny Investments Llc	null	high
Cameron K Blair Dds Pa	null	high
Camille's Sidewalk Cafe	cafe	medium
Camino Viejo	mexican	medium
Camo Investments Llc	null	high
Campania Pizza And More	pizza-classic	high
Campfire Allen Llc	null	low
Campisi's Restaurant	italian-classic	medium
Canaan Inc Dba Crown Donuts	donuts	high
Canadian Agri Products Usa Corp. Dba E Cofusion	null	low
Canary Payment Services	null	high
Candleridge Big Burgers &Wings	burgers	high
Cannon Chinese Kitchen	chinese	high
Canos Combination	null	low
Cantina La Rosa	mexican	high
Cantina Laredo Branson Lp	mexican	high
Cantina Laredo Restaurants, L.l.c.	mexican	high
Canyon Cafe Restaurant	null	low
Capital One Auto Group Llc	null	high
Capital One Lounge	null	medium
Capital Pizza Ventures Llc Inc	pizza-classic	high
Capri Italian Grill	italian-classic	high
Captain Jack's Floating Bar & Grill	bar	medium
Cara Mia	italian-classic	medium
Carbone's Fine Food & Wine - Highland Park Llc	italian-classic	medium
Cargo Craft Logistics	null	high
Carjen Management Llc	null	high
Carl's Kitchen	null	low
Carl's. Place	null	low
Carmelita’s Pupuseria & More	latin-american	high
Carnitas estilo Michoacán	mexican	high
Carnival Food Store	null	low
Carols Red Apron	null	low
Carpenters Cafe & Catering	cafe	medium
Carrollton Resaurant Ltd	null	low
Carso Market	null	low
Carson Deli	deli-sandwiches	high
Carte Blanche	french	low
Cartwright 4 Enterprises Lp	null	low
Cartwright's Ranch House	southern	low
Carverpark	null	low
Casa Del Fuego	mexican	medium
Casa Dental	null	low
Casa Himalaya	indian	medium
Casa Lolita’s	mexican	low
Casa Mama	null	low
Casa Mia Latin Cuisine	latin-american	high
Casa Salsa	mexican	medium
CasaMia Mexican Restaurant & Bar	mexican	high
Casita San Lazaro	mexican	medium
Cat And The Fiddle Inc	null	low
Catering	null	low
Catfish & More	seafood-classic	medium
Catfish King Restaurant of Dallas	seafood-classic	medium
Catina Laredo	mexican	medium
Cavalli	italian-classic	low
Cave Society	null	low
Cbe Extreme Nightlife Fw Llc	bar	low
Cctl Empty Glass Enterprises Llc	null	low
Cdlu	null	low
Ce Acquisition, Llc	null	low
Ce Acquisition, Llc.	null	low
Cedar Creek Plowboy's Club	null	low
Cedar Of Las Colinas Inc	null	low
Ceja Law Office P.l.l.c.	null	low
Cel-dry Llc	null	low
Central Beverages Llc	null	low
Century Oak Foods	null	low
Ceviche365uptown LLC	peruvian	medium
Cha Bar Thai Inc	thai	high
Chaac Pizza Midwest, Llc	pizza-classic	high
Chadko Management No. 1 Inc	null	low
Chaf In Restaurant	null	low
Chaisson Investments Inc	null	low
Champion Gourmet	null	low
Champions At Valley Ranch	null	low
Champions Cafe & Sports Bar	sports-bar	high
Champs Restaurant Supply	null	low
Chandi Chowk Restaurant	indian	high
Chandni Grill	indian	medium
Chapps Burgers	burgers	high
Chapps Keller Inc	burgers	low
Char Grill Heritage	burgers	low
Charcoal Avenue	null	low
Charlan Enterprises, Inc. Dba Jamespoint Management Company	null	low
Charles E. Reed Enterprises, Inc.	null	low
Charlie's Tavern & Kitchen Dallas	bar	medium
Charlotte's Coffee Shop	coffee	high
Chat N Chill Bar And Grill, Llc	bar	medium
Chavez Mexican Foods	mexican	high
Chaya Japanese Restaurant	japanese	high
Cheddar's Casual Cafe	comfort-food	medium
Cheddars	comfort-food	low
Cheesy B's	null	low
Cheesy Chaos	null	low
Chef Delivered	null	low
Chef Sharon Payot	null	low
Chef's Palette	null	low
ChefTemii	null	low
Chefco Foods	null	low
Chefs House	null	low
Chennai Cafe	indian	high
Chennai Cafe Grand Irving	indian	high
Chennai To Mumbai Dhaba	indian	high
Chetra's Kitchen	null	low
Chetter Hospitality Group Llc	null	low
Chey's	null	low
Chi-Chi African Mart & Rest	west-african	medium
Chica Blanca Fresh Cafe & Patio	cafe	low
Chicago Style Dog's	fast-food	medium
Chicharrones Laguneros Mary	mexican	high
Chicharrones Salazar	mexican	high
Chick And Seafood Inc	seafood-classic	medium
Chicka Chicka Hot Wings & Daiquiris	wings	high
Chicken & Rice/Burger	chicken	medium
Chicken And Watermelon Fool	chicken	medium
Chicken Shack, Llc	chicken	high
Chicken Stop	chicken	high
Chickonut Little Elm	chicken	medium
Chikas Bariscos	null	low
Chilito Limón	mexican	medium
Chilitos Mexican Restaurant	mexican	high
Chilli Thai Llc	thai	high
Chilly WILLY SNOW CONES	dessert	medium
Chiloso Mexican Bistro	mexican	high
China Coast Restaurant	chinese	high
China Imperial	chinese	high
China Inn Restaurant	chinese	high
Chingate un Taco	tacos	high
Chips & Salsa Tex-Mex & Cantina Carrollton	tex-mex	high
Chirps Chicken Shack	chicken	high
Chispot	null	low
Chitos Authentic Mexican Restaurant	mexican	high
Chocolate House Incubator Retail Llc	chocolate	medium
Choi & Choe Enterprise Inc	null	low
Choi's Donuts	donuts	high
Chonsky Wash Sales Llc	null	low
Chop Six	pan-asian	medium
ChopShop McKinney Sports Garage	sports-bar	medium
Chopin Restaurant	eastern-european	medium
